title,price,location,date,model,processor,screen_size,storage,ram,warranty,price_num,normalized_link
【艾爾巴二手】MacBook Air M2/8G/256G A2681 13.6吋 銀#二手筆電#桃園店 2C9KK,"NT$18,300","Taoyuan District, Taoyuan",2025-06-29,MacBook Air,M2,13,256,8,Unknown,18300,https://www.facebook.com/marketplace/item/1704843437065283/
Apple MACBOOK PRO M1 Pro 14吋,"NT$29,000",New Taipei City,2025-06-29,MacBook Pro,M1Pro,14,Unknown,Unknown,Unknown,29000,https://www.facebook.com/marketplace/item/24539943208941977/
MacBook air M2 13吋 8/512,"NT$19,000","Taichung, Taiwan",2025-06-29,MacBook Air,M2,13,512,8,Unknown,19000,https://www.facebook.com/marketplace/item/1063460482413300/
APPLE 2019 16吋 MACBook Pro (I9 32G 1TB 5500M),"NT$24,000","Taoyuan District, Taoyuan",2025-06-29,MacBook Pro,Intel i9,16,Unknown,32,Unknown,24000,https://www.facebook.com/marketplace/item/1501455000819407/
售 Macbook Air M1 13吋,"NT$15,000","Taoyuan District, Taoyuan",2025-06-29,MacBook Air,M1,13,Unknown,Unknown,Unknown,15000,https://www.facebook.com/marketplace/item/2246966702425377/
MacBook Air13(M3),"NT$26,000","Keelung, Taiwan",2025-06-29,MacBook Air,M3,13,Unknown,Unknown,Unknown,26000,https://www.facebook.com/marketplace/item/979201887742627/
<3C的家> APPLE MACBOOK AIR 2020 13吋 I3/8G 二手 玫瑰金,"NT$9,000","Taoyuan District, Taoyuan",2025-06-29,MacBook Air,Intel i3,13,Unknown,8,Unknown,9000,https://www.facebook.com/marketplace/item/1055993479961645/
售MacBook Pro M3 14吋 8/512 太空灰,"NT$35,000","Tainan, Taiwan",2025-06-29,MacBook Pro,M3,14,512,8,Unknown,35000,https://www.facebook.com/marketplace/item/1025875146370137/
MacBook Pro M3 14吋,"NT$35,000","Keelung, Taiwan",2025-06-29,MacBook Pro,M3,14,Unknown,Unknown,Unknown,35000,https://www.facebook.com/marketplace/item/1163405418202428/
"M3 MacBook Air 13"" 8/256G 原廠延長保固到2027年","NT$23,500","Taichung, Taiwan",2025-06-29,MacBook Air,M3,13,256,8,Unknown,23500,https://www.facebook.com/marketplace/item/4254539788108817/
9成9極新 Macbook Pro 14” M3 Pro,"NT$49,990","Taoyuan District, Taoyuan",2025-06-29,MacBook Pro,M3Pro,14,Unknown,Unknown,Unknown,49990,https://www.facebook.com/marketplace/item/735402118906067/
